year,volcano_region,greenland_SO4,antarctica_SO4,global_forcing,cold_year,n_tree_zscore,temp_anomaly_arctic
-426,UE -426,99.8,78.2,-35.6,-425,-2.74,
1258,Samalas / Indonesia,90.4,73.4,-32.8,1258,-1.43,-0.91
-44,Chiltepe? / Nicaragua,100.6,15.4,-23.2,-43,-3.33,
1458,Kuwae / Vanuatu,39,63.6,-20.5,1459,-2.31,-1.03
540,Ilopango? / El Salvador,61.2,34.4,-19.1,541,-2.57,-1.48
1815,Tambora / Indonesia,39.7,45.8,-17.1,1816,-2.51,-1.55
1230,UE 1230,56.4,23.1,-15.9,1230,-1.71,-0.65
1783,Laki / Iceland,135.8,,-15.5,1783,-1.16,-0.97
682,Pago? / New Britain,38.4,38.7,-15.4,682,-0.95,-0.96
574,Rabaul? / New Britain,38.3,34.1,-14.5,574,-2.46,-0.94
266,UE 266,61,11.3,-14.5,268,-1.7,-0.72
1809,UE 1809,34.6,25.4,-12,1810,-2.18,-1.23
1108,UE 1108,48.3,11.6,-12,1109,-1.99,-1.15
1641,Parker / Philippines,44.2,14.9,-11.8,1641,-2.31,-1.19
1601,Huaynaputina / Peru,39.2,18.7,-11.6,1601,-2.62,-1.5
169,UE 169,39.1,18.4,-11.5,170,-0.8,-0.94
1171,UE 1171,37,19.5,-11.3,1171,-0.91,-0.88
536,UE 536,99,,-11.3,536,-3.36,-1.74
1695,UE 1695,28.6,22.5,-10.2,1696,-1.63,-1.28
939,Eldgjá / Iceland,88.7,,-10.1,940,-1.81,-1.44
1286,Quilotoa? / Ecuador,27.6,20.8,-9.7,1288,-1.49,-0.65
433,UE 433,20.6,27.2,-9.6,432,-0.45,-0.25
87,UE 87,83.1,,-9.5,87,0.22,-0.49
1345,El Chichón? / Mexico,27.9,19.1,-9.4,1346,-2.18,-1.48
626,UE 626,72.2,,-8.2,627,-3,-0.93
